Month,Boston,Seattle,Cleveland
1997-07,154600,155900,103600
1997-08,156000,157300,102500
1997-09,157300,158500,102000
1997-10,158200,159800,102600
1997-11,160200,161300,103100
1997-12,162400,162800,103300
1998-01,165300,164400,104300
1998-02,169600,166600,106000
1998-03,171000,169100,107000
1998-04,168500,169900,106500
1998-05,167200,169900,106500
1998-06,168500,170800,106600
1998-07,170300,172600,106600
1998-08,172400,174600,106300
1998-09,174000,176100,106400
1998-10,175300,176900,106800
1998-11,176600,178200,107300
1998-12,178800,179600,107800
1999-01,182600,180300,109300
1999-02,186700,181600,111000
1999-03,188000,183700,111300
1999-04,186600,184900,111200
1999-05,186500,185200,111800
1999-06,189000,186200,112400
1999-07,192100,187900,112800
1999-08,194700,189400,113100
1999-09,197200,191200,113400
1999-10,199700,193000,113900
1999-11,202100,194600,114200
1999-12,203000,195000,114400
2000-01,206400,195600,115400
2000-02,213400,198200,117000
2000-03,217800,201100,118100
2000-04,217600,201600,118100
2000-05,219600,201200,118100
2000-06,224000,201900,118100
2000-07,228300,202500,118100
2000-08,232200,203600,118300
2000-09,235700,204800,118500
2000-10,239600,205800,118700
2000-11,243500,206600,119200
2000-12,248300,207300,119400
2001-01,254400,208000,119800
2001-02,260000,209700,121000
2001-03,261500,211500,121800
2001-04,261600,212300,121700
2001-05,262900,213100,121800
2001-06,265300,214400,121800
2001-07,268200,215400,121900
2001-08,271900,215900,122700
2001-09,274900,216700,123100
2001-10,277600,217500,122900
2001-11,278800,218400,123000
2001-12,278200,219600,123800
2002-01,278700,220600,124300
2002-02,281300,220900,124500
2002-03,284700,221000,124600
2002-04,288500,221700,124900
2002-05,293800,222800,125300
2002-06,299600,223900,125500
2002-07,305100,224900,125500
2002-08,308700,225900,125500
2002-09,312600,227000,125800
2002-10,316400,228600,126200
2002-11,319400,229900,126500
2002-12,321400,231000,127800
2003-01,322800,232200,129500
2003-02,323700,233100,130600
2003-03,324100,233700,131100
2003-04,324600,234500,131600
2003-05,324700,235200,132000
2003-06,324900,235800,132200
2003-07,325900,237100,132800
2003-08,328500,238900,133200
2003-09,331000,240700,133700
2003-10,333200,242300,134300
2003-11,336100,243900,134500
2003-12,339700,245800,134200
2004-01,343200,247900,134700
2004-02,346100,250100,135500
2004-03,349200,252500,135800
2004-04,351500,255100,135700
2004-05,353300,257400,135900
2004-06,354900,259300,136400
2004-07,357000,261400,136700
2004-08,359300,263900,137100
2004-09,361800,266700,137600
2004-10,363900,270100,138100
2004-11,366600,274100,138300
2004-12,369600,278100,139100
2005-01,372200,281300,140000
2005-02,373800,284200,140200
2005-03,375600,288300,139800
2005-04,377100,292900,140100
2005-05,377900,297300,140400
2005-06,378500,302700,140700
2005-07,378400,308900,141100
2005-08,378100,314400,141300
2005-09,378000,319500,141300
2005-10,378500,324700,141700
2005-11,378200,329800,142500
2005-12,377100,334500,142000
2006-01,374800,338100,140600
2006-02,373500,342000,139500
2006-03,373100,346400,139300
2006-04,371300,350200,139000
2006-05,368000,353700,138600
2006-06,364800,357400,138600
2006-07,362200,360600,138900
2006-08,360000,363500,138700
2006-09,357700,366600,138100
2006-10,356000,368500,137300
2006-11,355000,369500,136800
2006-12,354800,371000,137100
2007-01,355700,373800,137500
2007-02,356700,376100,136900
2007-03,356000,377100,136500
2007-04,354700,378300,136100
2007-05,353100,379500,135300
2007-06,350900,379500,134300
2007-07,349000,378500,133800
2007-08,346900,376700,133400
2007-09,344200,373500,132900
2007-10,341900,370200,132300
2007-11,339700,367300,131900
2007-12,338900,366700,129900
2008-01,338100,365300,128700
2008-02,336500,362300,129300
2008-03,334700,358600,129600
2008-04,333200,355200,127800
2008-05,331200,351500,127000
2008-06,329900,347500,126700
2008-07,329400,343300,126400
2008-08,328200,339500,126000
2008-09,326100,335700,125200
2008-10,323400,330200,124200
2008-11,320700,324100,124100
2008-12,316000,318900,123800
2009-01,312900,315800,122800
2009-02,311900,313500,122200
2009-03,310600,309200,122000
2009-04,309700,304700,121500
2009-05,312000,302800,121400
2009-06,314700,302000,121500
2009-07,316100,301400,121300
2009-08,317100,301200,121100
2009-09,318400,301200,121300
2009-10,319700,301500,121600
2009-11,320900,302400,121500
2009-12,320800,300600,121200
2010-01,320000,297900,120400
2010-02,319500,296000,120500
2010-03,320000,295100,121000
2010-04,320000,294400,121000
2010-05,319200,293500,120900
2010-06,318100,290600,119800
2010-07,316900,287200,118400
2010-08,315700,283700,118100
2010-09,315000,280600,117900
2010-10,313800,278700,117100
2010-11,312800,276900,116200
2010-12,313500,273700,115400
